marker,Identifier,Score,Component,Description
ARogers,Participant 12895979,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895979,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895979,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895979,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895979,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895979,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895979,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895979,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895979,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895979,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895979,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895979,3,18,Discussion correctly interprets findings
ARogers,Participant 12895979,5,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895979,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895979,4,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895979,4,22,Discussion concludes appropriately.
ARogers,Participant 12895979,4,23,Overall clarity of writing
ARogers,Participant 12895979,5,24,Overall quality of grammar and spelling
ARogers,Participant 12895979,3,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895979,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895988,4,1,Abstract is clear and accurate
ARogers,Participant 12895988,4,2,Abstract contains correct information
ARogers,Participant 12895988,3,3,Introduction is clear and accurate
ARogers,Participant 12895988,4,4,Introduction gives big-picture overview
ARogers,Participant 12895988,5,5,Introduction outlines specific research area
ARogers,Participant 12895988,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895988,5,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895988,5,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895988,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895988,2,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895988,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895988,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895988,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895988,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895988,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895988,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895988,3,18,Discussion correctly interprets findings
ARogers,Participant 12895988,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895988,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895988,3,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895988,3,22,Discussion concludes appropriately.
ARogers,Participant 12895988,4,23,Overall clarity of writing
ARogers,Participant 12895988,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895988,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895988,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895978,4,1,Abstract is clear and accurate
ARogers,Participant 12895978,3,2,Abstract contains correct information
ARogers,Participant 12895978,3,3,Introduction is clear and accurate
ARogers,Participant 12895978,4,4,Introduction gives big-picture overview
ARogers,Participant 12895978,3,5,Introduction outlines specific research area
ARogers,Participant 12895978,3,6,Introduction gives rationale for current experiment
ARogers,Participant 12895978,4,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895978,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895978,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895978,3,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895978,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895978,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895978,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895978,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895978,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895978,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895978,2,18,Discussion correctly interprets findings
ARogers,Participant 12895978,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895978,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895978,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895978,3,22,Discussion concludes appropriately.
ARogers,Participant 12895978,4,23,Overall clarity of writing
ARogers,Participant 12895978,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895978,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895978,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895993,2,1,Abstract is clear and accurate
ARogers,Participant 12895993,2,2,Abstract contains correct information
ARogers,Participant 12895993,3,3,Introduction is clear and accurate
ARogers,Participant 12895993,2,4,Introduction gives big-picture overview
ARogers,Participant 12895993,3,5,Introduction outlines specific research area
ARogers,Participant 12895993,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895993,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895993,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895993,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895993,2,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895993,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895993,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895993,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895993,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895993,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895993,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895993,3,18,Discussion correctly interprets findings
ARogers,Participant 12895993,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895993,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895993,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895993,2,22,Discussion concludes appropriately.
ARogers,Participant 12895993,3,23,Overall clarity of writing
ARogers,Participant 12895993,2,24,Overall quality of grammar and spelling
ARogers,Participant 12895993,4,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895993,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895994,3,1,Abstract is clear and accurate
ARogers,Participant 12895994,3,2,Abstract contains correct information
ARogers,Participant 12895994,2,3,Introduction is clear and accurate
ARogers,Participant 12895994,3,4,Introduction gives big-picture overview
ARogers,Participant 12895994,3,5,Introduction outlines specific research area
ARogers,Participant 12895994,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895994,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895994,2,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895994,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895994,2,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895994,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895994,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895994,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895994,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895994,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895994,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895994,2,18,Discussion correctly interprets findings
ARogers,Participant 12895994,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895994,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895994,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895994,4,22,Discussion concludes appropriately.
ARogers,Participant 12895994,3,23,Overall clarity of writing
ARogers,Participant 12895994,3,24,Overall quality of grammar and spelling
ARogers,Participant 12895994,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895994,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895996,3,1,Abstract is clear and accurate
ARogers,Participant 12895996,3,2,Abstract contains correct information
ARogers,Participant 12895996,2,3,Introduction is clear and accurate
ARogers,Participant 12895996,3,4,Introduction gives big-picture overview
ARogers,Participant 12895996,3,5,Introduction outlines specific research area
ARogers,Participant 12895996,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895996,2,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895996,3,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895996,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895996,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895996,4,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895996,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895996,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895996,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895996,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895996,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895996,3,18,Discussion correctly interprets findings
ARogers,Participant 12895996,3,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895996,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895996,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895996,3,22,Discussion concludes appropriately.
ARogers,Participant 12895996,2,23,Overall clarity of writing
ARogers,Participant 12895996,3,24,Overall quality of grammar and spelling
ARogers,Participant 12895996,3,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895996,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12896001,4,1,Abstract is clear and accurate
ARogers,Participant 12896001,4,2,Abstract contains correct information
ARogers,Participant 12896001,4,3,Introduction is clear and accurate
ARogers,Participant 12896001,4,4,Introduction gives big-picture overview
ARogers,Participant 12896001,3,5,Introduction outlines specific research area
ARogers,Participant 12896001,3,6,Introduction gives rationale for current experiment
ARogers,Participant 12896001,5,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12896001,5,8,Sample sizes are justified through a power calculation
ARogers,Participant 12896001,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12896001,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12896001,4,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12896001,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12896001,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12896001,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12896001,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12896001,4,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12896001,5,18,Discussion correctly interprets findings
ARogers,Participant 12896001,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12896001,4,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12896001,3,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12896001,3,22,Discussion concludes appropriately.
ARogers,Participant 12896001,4,23,Overall clarity of writing
ARogers,Participant 12896001,5,24,Overall quality of grammar and spelling
ARogers,Participant 12896001,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12896001,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12896004,4,1,Abstract is clear and accurate
ARogers,Participant 12896004,5,2,Abstract contains correct information
ARogers,Participant 12896004,4,3,Introduction is clear and accurate
ARogers,Participant 12896004,4,4,Introduction gives big-picture overview
ARogers,Participant 12896004,5,5,Introduction outlines specific research area
ARogers,Participant 12896004,5,6,Introduction gives rationale for current experiment
ARogers,Participant 12896004,5,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12896004,3,8,Sample sizes are justified through a power calculation
ARogers,Participant 12896004,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12896004,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12896004,5,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12896004,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12896004,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12896004,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12896004,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12896004,5,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12896004,5,18,Discussion correctly interprets findings
ARogers,Participant 12896004,5,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12896004,4,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12896004,4,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12896004,4,22,Discussion concludes appropriately.
ARogers,Participant 12896004,5,23,Overall clarity of writing
ARogers,Participant 12896004,3,24,Overall quality of grammar and spelling
ARogers,Participant 12896004,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12896004,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12896010,3,1,Abstract is clear and accurate
ARogers,Participant 12896010,2,2,Abstract contains correct information
ARogers,Participant 12896010,2,3,Introduction is clear and accurate
ARogers,Participant 12896010,3,4,Introduction gives big-picture overview
ARogers,Participant 12896010,2,5,Introduction outlines specific research area
ARogers,Participant 12896010,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12896010,2,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12896010,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12896010,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12896010,2,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12896010,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12896010,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12896010,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12896010,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12896010,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12896010,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12896010,2,18,Discussion correctly interprets findings
ARogers,Participant 12896010,3,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12896010,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12896010,3,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12896010,1,22,Discussion concludes appropriately.
ARogers,Participant 12896010,3,23,Overall clarity of writing
ARogers,Participant 12896010,3,24,Overall quality of grammar and spelling
ARogers,Participant 12896010,2,25,Correct formatting of sections and sub-sections
ARogers,Participant 12896010,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895981,3,1,Abstract is clear and accurate
DGraham,Participant 12895981,3,2,Abstract contains correct information
DGraham,Participant 12895981,3,3,Introduction is clear and accurate
DGraham,Participant 12895981,3,4,Introduction gives big-picture overview
DGraham,Participant 12895981,3,5,Introduction outlines specific research area
DGraham,Participant 12895981,2,6,Introduction gives rationale for current experiment
DGraham,Participant 12895981,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895981,3,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895981,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895981,3,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895981,3,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895981,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895981,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895981,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895981,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895981,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895981,3,18,Discussion correctly interprets findings
DGraham,Participant 12895981,3,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895981,2,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895981,3,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895981,2,22,Discussion concludes appropriately.
DGraham,Participant 12895981,3,23,Overall clarity of writing
DGraham,Participant 12895981,4,24,Overall quality of grammar and spelling
DGraham,Participant 12895981,4,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895981,3,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895977,3,1,Abstract is clear and accurate
DGraham,Participant 12895977,3,2,Abstract contains correct information
DGraham,Participant 12895977,2,3,Introduction is clear and accurate
DGraham,Participant 12895977,4,4,Introduction gives big-picture overview
DGraham,Participant 12895977,3,5,Introduction outlines specific research area
DGraham,Participant 12895977,3,6,Introduction gives rationale for current experiment
DGraham,Participant 12895977,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895977,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895977,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895977,3,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895977,2,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895977,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895977,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895977,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895977,1,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895977,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895977,3,18,Discussion correctly interprets findings
DGraham,Participant 12895977,3,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895977,2,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895977,1,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895977,3,22,Discussion concludes appropriately.
DGraham,Participant 12895977,3,23,Overall clarity of writing
DGraham,Participant 12895977,4,24,Overall quality of grammar and spelling
DGraham,Participant 12895977,4,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895977,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12896012,4,1,Abstract is clear and accurate
DGraham,Participant 12896012,4,2,Abstract contains correct information
DGraham,Participant 12896012,3,3,Introduction is clear and accurate
DGraham,Participant 12896012,5,4,Introduction gives big-picture overview
DGraham,Participant 12896012,4,5,Introduction outlines specific research area
DGraham,Participant 12896012,4,6,Introduction gives rationale for current experiment
DGraham,Participant 12896012,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12896012,3,8,Sample sizes are justified through a power calculation
DGraham,Participant 12896012,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12896012,4,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12896012,4,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12896012,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12896012,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
